month,year,leadsource,city,model,email_delivered,email_open,email_click,sms_delivered
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adityapur,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoni,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoor,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adoor,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adyar,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Adyar,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Afzalgarh,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Afzalgarh,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Afzalgarh,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Afzalpur,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,CIVIC DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,CIVIC PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agar Malwa,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agartala,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agartala,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agartala,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agartala,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,5TH GEN CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,CIVIC DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,CIVIC PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,JAZZ,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Agra,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmadpur Harna,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,ACCORD,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,CIVIC,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,CIVIC PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,JAZZ,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedabad,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedgarh,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmedgarh,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,JAZZ,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Ahmednagar,MOBILIO DE,,,,21
